supplier_id,risk_tier,is_inconsistent,n_shipments,delay_rate,delay_rate_std_over_time,avg_penalty_cost,total_penalty_cost,avg_transportation_cost,avg_route_risk_score,avg_supplier_rating,rating_actual_gap,most_common_region
1646,Tier 1 - Reliable,False,49,0.08163265306122448,0.3205341873219848,446.9466096235104,21900.38387155201,18433.530156203877,50.224489795918366,79.79276928557327,-12.043965408304288,North
1582,Tier 1 - Reliable,False,57,0.07017543859649122,0.3177817201710584,294.8205065541434,16804.768873586174,17450.591953804145,49.31578947368421,80.61580529099166,-12.366650849359218,North
1804,Tier 1 - Reliable,False,43,0.06976744186046512,0.30993404669460334,183.82359487961594,7904.414579823485,16572.452097186833,50.46511627906977,79.6061978231627,-13.41705799079078,North
1679,Tier 1 - Reliable,False,52,0.07692307692307693,0.30977506538294025,540.8590808337198,28124.672203353428,16349.27603613536,46.80769230769231,79.90332704275703,-12.40436526493528,East
1275,Tier 1 - Reliable,False,39,0.07692307692307693,0.3059652245186021,461.84416122828844,18011.92228790325,17019.610835882533,48.07692307692308,80.68011271662678,-11.627579591065526,North
1940,Tier 1 - Reliable,False,64,0.0625,0.30053715351876426,290.881891344752,18616.441046064127,17621.589057150304,46.65625,80.68349453602966,-13.066505463970344,South
1939,Tier 1 - Reliable,False,46,0.08695652173913043,0.29860788111948194,437.86577823509066,20141.82579881417,18394.12832257884,53.82608695652174,79.00844233623462,-12.295905489852345,North
1830,Tier 1 - Reliable,False,33,0.09090909090909091,0.29411498293763577,434.6070496852965,14342.032639614785,18335.279206275514,51.878787878787875,80.12808047333249,-10.781010435758418,North
1743,Tier 1 - Reliable,False,56,0.08928571428571429,0.290860029604927,341.8201117564,19141.926258358402,16450.507267193134,53.660714285714285,79.76321231766426,-11.308216253764314,North
1328,Tier 1 - Reliable,False,53,0.11320754716981132,0.28849179057212915,445.0059235061493,23585.313945825914,17859.75340562576,47.22641509433962,80.83393546941974,-7.84530981359913,North
1257,Tier 1 - Reliable,False,55,0.10909090909090909,0.28828009488241313,373.2734845979494,20530.041652887216,16955.248929607304,46.30909090909091,79.75287061458329,-9.338038476325806,North
